no_curso	no_grau	no_turno	no_campus	sg_uf_campus	no_municipio_campus	no_ies	sg_ies	co_concorrencia	tp_mod_concorrencia	no_concorrencia	qt_vagas	qt_vagas_concorrencia	nu_nota_corte
FISIOTERAPIA	Bacharelado	Integral	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	806.57
GEOGRAFIA	Bacharelado	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	8	8	714.77
GEOGRAFIA	Licenciatura	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	8	8	715.25
HISTÓRIA	Licenciatura	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	10	10	728.26
HISTÓRIA	Licenciatura	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	10	10	746.18
JORNALISMO	Bacharelado	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	750.62
LETRAS - PORTUGUÊS E FRANCÊS	Licenciatura	Matutino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	7	7	740.71
LETRAS - PORTUGUÊS E INGLÊS	Licenciatura	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	7	7	746.40
MEDICINA	Bacharelado	Integral	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	15	15	906.00
PEDAGOGIA	Licenciatura	Matutino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	720.82
QUÍMICA	Licenciatura	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	741.31
RELAÇÕES INTERNACIONAIS	Bacharelado	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	675.04
SECRETARIADO	Tecnológico	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	587.72
SOCIOLOGIA	Licenciatura	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	7	7	703.08
TEATRO	Licenciatura	Matutino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	687.34
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	708.23
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Nova Andradina	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NOVA ANDRADINA - CPNA	0	A	Ampla concorrência	12	12	604.82
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Naviraí	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NAVIRAÍ - CPNV	0	A	Ampla concorrência	8	8	599.40
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	12	12	679.00
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	10	10	609.51
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	10	10	625.33
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Paranaíba	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE PARANAÍBA - CPAR	0	A	Ampla concorrência	10	10	606.02
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Chapadão do Sul	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE CHAPADÃO DO SUL - CPCS	0	A	Ampla concorrência	10	10	635.25
ADMINISTRAÇÃO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	733.20
AGRONOMIA	Bacharelado	Integral	MS	Chapadão do Sul	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE CHAPADÃO DO SUL - CPCS	0	A	Ampla concorrência	10	10	648.65
ARQUITETURA E URBANISMO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	717.16
ARQUITETURA E URBANISMO	Bacharelado	Integral	MS	Naviraí	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NAVIRAÍ - CPNV	0	A	Ampla concorrência	10	10	720.63
ARTES VISUAIS	Licenciatura	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	6	6	672.79
ARTES VISUAIS	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	6	6	673.38
AUDIOVISUAL	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	6	6	710.57
CIÊNCIA DA COMPUTAÇÃO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	704.14
CIÊNCIAS BIOLÓGICAS	Licenciatura	Integral	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	8	8	650.53
CIÊNCIAS BIOLÓGICAS	Licenciatura	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	8	8	601.88
CIÊNCIAS BIOLÓGICAS	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	694.17
CIÊNCIAS BIOLÓGICAS	Licenciatura	Vespertino	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	7	7	602.83
CIÊNCIAS BIOLÓGICAS	Licenciatura	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	670.86
CIÊNCIAS CONTÁBEIS	Bacharelado	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	10	10	667.17
CIÊNCIAS CONTÁBEIS	Bacharelado	Noturno	MS	Nova Andradina	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NOVA ANDRADINA - CPNA	0	A	Ampla concorrência	8	8	591.25
CIÊNCIAS CONTÁBEIS	Bacharelado	Noturno	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	10	10	628.16
CIÊNCIAS CONTÁBEIS	Bacharelado	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	688.71
CIÊNCIAS ECONÔMICAS	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	705.76
CIÊNCIAS SOCIAIS	Licenciatura	Noturno	MS	Naviraí	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NAVIRAÍ - CPNV	0	A	Ampla concorrência	8	8	551.44
CIÊNCIAS SOCIAIS	Bacharelado	Matutino	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	640.32
DIREITO	Bacharelado	Noturno	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	10	10	738.32
DIREITO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	777.92
DIREITO	Bacharelado	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	769.56
DIREITO	Bacharelado	Integral	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	11	11	750.23
DIREITO	Bacharelado	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	11	11	723.36
EDUCAÇÃO FÍSICA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	635.94
EDUCAÇÃO FÍSICA	Licenciatura	Integral	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	10	10	598.90
EDUCAÇÃO FÍSICA	Licenciatura	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	622.46
ENFERMAGEM	Bacharelado	Integral	MS	Coxim	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE COXIM - CPCX	0	A	Ampla concorrência	8	8	707.05
ENFERMAGEM	Bacharelado	Integral	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	8	8	711.26
ENFERMAGEM	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	721.53
ENGENHARIA AMBIENTAL	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	683.01
ENGENHARIA CIVIL	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	729.40
ENGENHARIA CIVIL	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	707.45
ENGENHARIA DE ALIMENTOS	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	681.83
ENGENHARIA DE COMPUTAÇÃO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	713.50
ENGENHARIA DE PRODUÇÃO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	701.24
ENGENHARIA DE PRODUÇÃO	Bacharelado	Integral	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	10	10	694.37
ENGENHARIA DE PRODUÇÃO	Bacharelado	Integral	MS	Nova Andradina	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NOVA ANDRADINA - CPNA	0	A	Ampla concorrência	10	10	657.43
ENGENHARIA DE SOFTWARE	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	14	14	710.54
ENGENHARIA ELÉTRICA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	696.91
ENGENHARIA FÍSICA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	6	6	720.72
ENGENHARIA FLORESTAL	Bacharelado	Integral	MS	Chapadão do Sul	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE CHAPADÃO DO SUL - CPCS	0	A	Ampla concorrência	10	10	581.78
ENGENHARIA QUÍMICA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	7	7	744.97
FARMÁCIA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	705.04
FILOSOFIA	Licenciatura	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	632.30
FÍSICA	Licenciatura	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	5	5	670.33
FÍSICA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	5	5	712.43
FISIOTERAPIA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	696.53
GEOGRAFIA	Licenciatura	Noturno	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	8	8	556.74
GEOGRAFIA	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	8	8	581.44
GEOGRAFIA	Bacharelado	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	638.23
GEOGRAFIA	Bacharelado	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	6	6	596.20
GEOGRAFIA	Licenciatura	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	8	8	562.57
GEOGRAFIA	Bacharelado	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	6	6	539.17
HISTÓRIA	Licenciatura	Noturno	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	7	7	608.30
HISTÓRIA	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	9	9	652.23
HISTÓRIA	Licenciatura	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	8	8	614.23
HISTÓRIA	Licenciatura	Noturno	MS	Nova Andradina	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NOVA ANDRADINA - CPNA	0	A	Ampla concorrência	10	10	592.31
HISTÓRIA	Licenciatura	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	649.11
JORNALISMO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	687.50
LETRAS - PORTUGUÊS	Licenciatura	Noturno	MS	Coxim	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE COXIM - CPCX	0	A	Ampla concorrência	10	10	563.30
LETRAS - PORTUGUÊS	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	7	7	580.03
LETRAS - PORTUGUÊS E ESPANHOL	Licenciatura	Matutino	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	8	8	588.38
LETRAS - PORTUGUÊS E ESPANHOL	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	7	7	599.23
LETRAS - PORTUGUÊS E ESPANHOL	Licenciatura	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	5	5	544.77
LETRAS - PORTUGUÊS E ESPANHOL	Licenciatura	Matutino	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	650.06
LETRAS - PORTUGUÊS E INGLÊS	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	7	7	648.92
LETRAS - PORTUGUÊS E INGLÊS	Licenciatura	Noturno	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	8	8	596.81
LETRAS - PORTUGUÊS E INGLÊS	Licenciatura	Matutino	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	691.46
LETRAS - PORTUGUÊS E INGLÊS	Licenciatura	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ I	0	A	Ampla concorrência	5	5	590.35
MATEMÁTICA	Licenciatura	Noturno	MS	Paranaíba	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE PARANAÍBA - CPAR	0	A	Ampla concorrência	8	8	566.97
MATEMÁTICA	Licenciatura	Noturno	MS	Ponta Porã	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE PONTA PORÃ - CPPP	0	A	Ampla concorrência	10	10	555.82
MATEMÁTICA	Licenciatura	Vespertino	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	8	8	554.64
MATEMÁTICA	Licenciatura	Integral	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	8	8	558.86
MATEMÁTICA	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	10	10	613.37
MATEMÁTICA	Licenciatura	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	9	9	626.50
MATEMÁTICA	Bacharelado	Matutino	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	6	6	686.37
MEDICINA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	16	16	788.33
MEDICINA	Bacharelado	Integral	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	12	12	809.95
MEDICINA VETERINÁRIA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	736.37
NUTRIÇÃO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	685.04
ODONTOLOGIA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	726.43
PEDAGOGIA	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	8	8	629.03
PEDAGOGIA	Licenciatura	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	631.27
