no_curso	no_grau	no_turno	no_campus	sg_uf_campus	no_municipio_campus	no_ies	sg_ies	co_concorrencia	tp_mod_concorrencia	no_concorrencia	qt_vagas	qt_vagas_concorrencia	nu_nota_corte
ENGENHARIA ELÉTRICA	Bacharelado	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	814.49
FARMÁCIA	Bacharelado	Integral	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	796.78
FÍSICA	Licenciatura	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	744.53
FISIOTERAPIA	Bacharelado	Integral	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	816.00
GEOGRAFIA	Bacharelado	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	8	8	725.09
GEOGRAFIA	Licenciatura	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	8	8	712.37
HISTÓRIA	Licenciatura	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	10	10	732.07
HISTÓRIA	Licenciatura	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	10	10	767.52
JORNALISMO	Bacharelado	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	760.68
LETRAS - PORTUGUÊS E FRANCÊS	Licenciatura	Matutino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	7	7	732.84
LETRAS - PORTUGUÊS E INGLÊS	Licenciatura	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	7	7	800.09
MEDICINA	Bacharelado	Integral	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	15	15	909.84
PEDAGOGIA	Licenciatura	Matutino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	713.42
QUÍMICA	Licenciatura	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	727.25
RELAÇÕES INTERNACIONAIS	Bacharelado	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	682.84
SECRETARIADO	Tecnológico	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	586.16
SOCIOLOGIA	Licenciatura	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	7	7	703.08
TEATRO	Licenciatura	Matutino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	678.31
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	709.87
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Nova Andradina	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NOVA ANDRADINA - CPNA	0	A	Ampla concorrência	12	12	594.95
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Naviraí	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NAVIRAÍ - CPNV	0	A	Ampla concorrência	8	8	608.84
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	12	12	671.82
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	10	10	623.51
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	10	10	630.10
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Paranaíba	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE PARANAÍBA - CPAR	0	A	Ampla concorrência	10	10	629.07
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Chapadão do Sul	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE CHAPADÃO DO SUL - CPCS	0	A	Ampla concorrência	10	10	612.25
ADMINISTRAÇÃO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	734.05
AGRONOMIA	Bacharelado	Integral	MS	Chapadão do Sul	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE CHAPADÃO DO SUL - CPCS	0	A	Ampla concorrência	10	10	658.49
ARQUITETURA E URBANISMO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	714.76
ARQUITETURA E URBANISMO	Bacharelado	Integral	MS	Naviraí	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NAVIRAÍ - CPNV	0	A	Ampla concorrência	10	10	726.57
ARTES VISUAIS	Licenciatura	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	6	6	677.80
ARTES VISUAIS	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	6	6	687.60
AUDIOVISUAL	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	6	6	722.05
CIÊNCIA DA COMPUTAÇÃO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	700.93
CIÊNCIAS BIOLÓGICAS	Licenciatura	Integral	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	8	8	650.53
CIÊNCIAS BIOLÓGICAS	Licenciatura	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	8	8	602.73
CIÊNCIAS BIOLÓGICAS	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	687.53
CIÊNCIAS BIOLÓGICAS	Licenciatura	Vespertino	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	7	7	598.20
CIÊNCIAS BIOLÓGICAS	Licenciatura	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	670.23
CIÊNCIAS CONTÁBEIS	Bacharelado	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	10	10	666.68
CIÊNCIAS CONTÁBEIS	Bacharelado	Noturno	MS	Nova Andradina	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NOVA ANDRADINA - CPNA	0	A	Ampla concorrência	8	8	608.88
CIÊNCIAS CONTÁBEIS	Bacharelado	Noturno	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	10	10	627.65
CIÊNCIAS CONTÁBEIS	Bacharelado	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	695.13
CIÊNCIAS ECONÔMICAS	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	707.90
CIÊNCIAS SOCIAIS	Licenciatura	Noturno	MS	Naviraí	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NAVIRAÍ - CPNV	0	A	Ampla concorrência	8	8	598.74
CIÊNCIAS SOCIAIS	Bacharelado	Matutino	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	647.14
DIREITO	Bacharelado	Noturno	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	10	10	732.88
DIREITO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	788.36
DIREITO	Bacharelado	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	771.28
DIREITO	Bacharelado	Integral	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	11	11	756.85
DIREITO	Bacharelado	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	11	11	721.05
EDUCAÇÃO FÍSICA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	630.34
EDUCAÇÃO FÍSICA	Licenciatura	Integral	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	10	10	596.78
EDUCAÇÃO FÍSICA	Licenciatura	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	623.76
ENFERMAGEM	Bacharelado	Integral	MS	Coxim	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE COXIM - CPCX	0	A	Ampla concorrência	8	8	701.50
ENFERMAGEM	Bacharelado	Integral	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	8	8	704.09
ENFERMAGEM	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	718.94
ENGENHARIA AMBIENTAL	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	682.28
ENGENHARIA CIVIL	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	734.65
ENGENHARIA CIVIL	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	727.03
ENGENHARIA DE ALIMENTOS	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	689.95
ENGENHARIA DE COMPUTAÇÃO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	726.46
ENGENHARIA DE PRODUÇÃO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	715.33
ENGENHARIA DE PRODUÇÃO	Bacharelado	Integral	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	10	10	688.92
ENGENHARIA DE PRODUÇÃO	Bacharelado	Integral	MS	Nova Andradina	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NOVA ANDRADINA - CPNA	0	A	Ampla concorrência	10	10	643.42
ENGENHARIA DE SOFTWARE	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	14	14	712.04
ENGENHARIA ELÉTRICA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	697.74
ENGENHARIA FÍSICA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	6	6	717.85
ENGENHARIA FLORESTAL	Bacharelado	Integral	MS	Chapadão do Sul	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE CHAPADÃO DO SUL - CPCS	0	A	Ampla concorrência	10	10	596.13
ENGENHARIA QUÍMICA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	7	7	746.25
FARMÁCIA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	714.09
FILOSOFIA	Licenciatura	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	644.63
FÍSICA	Licenciatura	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	5	5	674.65
FÍSICA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	5	5	712.43
FISIOTERAPIA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	692.21
GEOGRAFIA	Licenciatura	Noturno	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	8	8	576.59
GEOGRAFIA	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	8	8	598.65
GEOGRAFIA	Bacharelado	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	620.54
GEOGRAFIA	Bacharelado	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	6	6	610.27
GEOGRAFIA	Licenciatura	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	8	8	562.57
GEOGRAFIA	Bacharelado	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	6	6	556.35
HISTÓRIA	Licenciatura	Noturno	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	7	7	615.29
HISTÓRIA	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	9	9	659.97
HISTÓRIA	Licenciatura	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	8	8	624.01
HISTÓRIA	Licenciatura	Noturno	MS	Nova Andradina	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NOVA ANDRADINA - CPNA	0	A	Ampla concorrência	10	10	608.52
HISTÓRIA	Licenciatura	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	675.86
JORNALISMO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	692.88
LETRAS - PORTUGUÊS	Licenciatura	Noturno	MS	Coxim	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE COXIM - CPCX	0	A	Ampla concorrência	10	10	555.50
LETRAS - PORTUGUÊS	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	7	7	600.35
LETRAS - PORTUGUÊS E ESPANHOL	Licenciatura	Matutino	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	8	8	584.46
LETRAS - PORTUGUÊS E ESPANHOL	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	7	7	600.35
LETRAS - PORTUGUÊS E ESPANHOL	Licenciatura	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	5	5	590.35
LETRAS - PORTUGUÊS E ESPANHOL	Licenciatura	Matutino	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	673.18
LETRAS - PORTUGUÊS E INGLÊS	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	7	7	666.73
LETRAS - PORTUGUÊS E INGLÊS	Licenciatura	Noturno	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	8	8	596.81
LETRAS - PORTUGUÊS E INGLÊS	Licenciatura	Matutino	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	691.46
LETRAS - PORTUGUÊS E INGLÊS	Licenciatura	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ I	0	A	Ampla concorrência	5	5	631.18
MATEMÁTICA	Licenciatura	Noturno	MS	Paranaíba	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE PARANAÍBA - CPAR	0	A	Ampla concorrência	8	8	593.17
MATEMÁTICA	Licenciatura	Noturno	MS	Ponta Porã	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE PONTA PORÃ - CPPP	0	A	Ampla concorrência	10	10	555.82
MATEMÁTICA	Licenciatura	Vespertino	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	8	8	554.64
MATEMÁTICA	Licenciatura	Integral	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	8	8	556.46
MATEMÁTICA	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	10	10	608.88
MATEMÁTICA	Licenciatura	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	9	9	649.40
MATEMÁTICA	Bacharelado	Matutino	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	6	6	684.50
MEDICINA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	16	16	789.26
MEDICINA	Bacharelado	Integral	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	12	12	812.48
MEDICINA VETERINÁRIA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	739.57
NUTRIÇÃO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	686.54
ODONTOLOGIA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	730.04
PEDAGOGIA	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	8	8	629.03
PEDAGOGIA	Licenciatura	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	629.82
