no_curso	no_grau	no_turno	no_campus	sg_uf_campus	no_municipio_campus	no_ies	sg_ies	co_concorrencia	tp_mod_concorrencia	no_concorrencia	qt_vagas	qt_vagas_concorrencia	nu_nota_corte
RELAÇÕES INTERNACIONAIS	Bacharelado	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	685.82
SECRETARIADO	Tecnológico	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	592.06
SOCIOLOGIA	Licenciatura	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	7	7	566.74
TEATRO	Licenciatura	Matutino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	.00
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	709.87
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Nova Andradina	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NOVA ANDRADINA - CPNA	0	A	Ampla concorrência	12	12	584.47
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Naviraí	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NAVIRAÍ - CPNV	0	A	Ampla concorrência	8	8	607.82
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	12	12	671.43
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	10	10	623.51
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	10	10	629.60
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Paranaíba	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE PARANAÍBA - CPAR	0	A	Ampla concorrência	10	10	630.37
ADMINISTRAÇÃO	Bacharelado	Noturno	MS	Chapadão do Sul	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE CHAPADÃO DO SUL - CPCS	0	A	Ampla concorrência	10	10	621.58
ADMINISTRAÇÃO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	733.20
AGRONOMIA	Bacharelado	Integral	MS	Chapadão do Sul	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE CHAPADÃO DO SUL - CPCS	0	A	Ampla concorrência	10	10	653.93
ARQUITETURA E URBANISMO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	712.63
ARQUITETURA E URBANISMO	Bacharelado	Integral	MS	Naviraí	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NAVIRAÍ - CPNV	0	A	Ampla concorrência	10	10	709.02
ARTES VISUAIS	Licenciatura	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	6	6	674.90
ARTES VISUAIS	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	6	6	683.21
AUDIOVISUAL	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	6	6	710.57
CIÊNCIA DA COMPUTAÇÃO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	700.93
CIÊNCIAS BIOLÓGICAS	Licenciatura	Integral	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	8	8	646.74
CIÊNCIAS BIOLÓGICAS	Licenciatura	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	8	8	595.17
CIÊNCIAS BIOLÓGICAS	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	683.04
CIÊNCIAS BIOLÓGICAS	Licenciatura	Vespertino	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	7	7	598.20
CIÊNCIAS BIOLÓGICAS	Licenciatura	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	666.87
CIÊNCIAS CONTÁBEIS	Bacharelado	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	10	10	667.79
CIÊNCIAS CONTÁBEIS	Bacharelado	Noturno	MS	Nova Andradina	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NOVA ANDRADINA - CPNA	0	A	Ampla concorrência	8	8	603.17
CIÊNCIAS CONTÁBEIS	Bacharelado	Noturno	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	10	10	627.65
CIÊNCIAS CONTÁBEIS	Bacharelado	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	699.03
CIÊNCIAS ECONÔMICAS	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	703.48
CIÊNCIAS SOCIAIS	Licenciatura	Noturno	MS	Naviraí	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NAVIRAÍ - CPNV	0	A	Ampla concorrência	8	8	598.06
CIÊNCIAS SOCIAIS	Bacharelado	Matutino	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	637.04
DIREITO	Bacharelado	Noturno	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	10	10	732.88
DIREITO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	788.93
DIREITO	Bacharelado	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	771.76
DIREITO	Bacharelado	Integral	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	11	11	752.62
DIREITO	Bacharelado	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	11	11	714.19
EDUCAÇÃO FÍSICA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	628.74
EDUCAÇÃO FÍSICA	Licenciatura	Integral	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	10	10	587.83
EDUCAÇÃO FÍSICA	Licenciatura	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	619.80
ENFERMAGEM	Bacharelado	Integral	MS	Coxim	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE COXIM - CPCX	0	A	Ampla concorrência	8	8	697.88
ENFERMAGEM	Bacharelado	Integral	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	8	8	704.09
ENFERMAGEM	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	718.94
ENGENHARIA AMBIENTAL	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	681.48
ENGENHARIA CIVIL	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	729.13
ENGENHARIA CIVIL	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	727.36
ENGENHARIA DE ALIMENTOS	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	681.83
ENGENHARIA DE COMPUTAÇÃO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	716.60
ENGENHARIA DE PRODUÇÃO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	704.38
ENGENHARIA DE PRODUÇÃO	Bacharelado	Integral	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	10	10	682.42
ENGENHARIA DE PRODUÇÃO	Bacharelado	Integral	MS	Nova Andradina	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NOVA ANDRADINA - CPNA	0	A	Ampla concorrência	10	10	632.48
ENGENHARIA DE SOFTWARE	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	14	14	711.11
ENGENHARIA ELÉTRICA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	691.07
ENGENHARIA FÍSICA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	6	6	701.27
ENGENHARIA FLORESTAL	Bacharelado	Integral	MS	Chapadão do Sul	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE CHAPADÃO DO SUL - CPCS	0	A	Ampla concorrência	10	10	581.64
ENGENHARIA QUÍMICA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	7	7	743.38
FARMÁCIA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	705.04
FILOSOFIA	Licenciatura	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	639.59
FÍSICA	Licenciatura	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	5	5	674.65
FÍSICA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	5	5	709.78
FISIOTERAPIA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	714.70
GEOGRAFIA	Licenciatura	Noturno	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	8	8	573.12
GEOGRAFIA	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	8	8	584.93
GEOGRAFIA	Bacharelado	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	617.18
GEOGRAFIA	Bacharelado	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	6	6	648.88
GEOGRAFIA	Licenciatura	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	8	8	556.01
GEOGRAFIA	Bacharelado	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	6	6	547.63
HISTÓRIA	Licenciatura	Noturno	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	7	7	583.17
HISTÓRIA	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	9	9	659.97
HISTÓRIA	Licenciatura	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	8	8	624.01
HISTÓRIA	Licenciatura	Noturno	MS	Nova Andradina	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE NOVA ANDRADINA - CPNA	0	A	Ampla concorrência	10	10	592.31
HISTÓRIA	Licenciatura	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	12	12	676.60
JORNALISMO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	688.53
LETRAS - PORTUGUÊS	Licenciatura	Noturno	MS	Coxim	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE COXIM - CPCX	0	A	Ampla concorrência	10	10	548.82
LETRAS - PORTUGUÊS	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	7	7	583.30
LETRAS - PORTUGUÊS E ESPANHOL	Licenciatura	Matutino	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	8	8	577.90
LETRAS - PORTUGUÊS E ESPANHOL	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	7	7	590.47
LETRAS - PORTUGUÊS E ESPANHOL	Licenciatura	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	5	5	544.77
LETRAS - PORTUGUÊS E ESPANHOL	Licenciatura	Matutino	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	659.78
LETRAS - PORTUGUÊS E INGLÊS	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	7	7	648.92
LETRAS - PORTUGUÊS E INGLÊS	Licenciatura	Noturno	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	8	8	593.11
LETRAS - PORTUGUÊS E INGLÊS	Licenciatura	Matutino	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	698.61
LETRAS - PORTUGUÊS E INGLÊS	Licenciatura	Noturno	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ I	0	A	Ampla concorrência	5	5	615.90
MATEMÁTICA	Licenciatura	Noturno	MS	Paranaíba	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE PARANAÍBA - CPAR	0	A	Ampla concorrência	8	8	586.04
MATEMÁTICA	Licenciatura	Noturno	MS	Ponta Porã	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE PONTA PORÃ - CPPP	0	A	Ampla concorrência	10	10	525.40
MATEMÁTICA	Licenciatura	Vespertino	MS	Aquidauana	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE AQUIDAUANA - CPAQ II	0	A	Ampla concorrência	8	8	554.64
MATEMÁTICA	Licenciatura	Integral	MS	Corumbá	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DO PANTANAL - CPAN	0	A	Ampla concorrência	8	8	557.12
MATEMÁTICA	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	10	10	608.02
MATEMÁTICA	Licenciatura	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	9	9	628.38
MATEMÁTICA	Bacharelado	Matutino	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	6	6	680.78
MEDICINA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	16	16	785.45
MEDICINA	Bacharelado	Integral	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	12	12	813.23
MEDICINA VETERINÁRIA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	738.03
NUTRIÇÃO	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	8	8	685.04
ODONTOLOGIA	Bacharelado	Integral	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	729.03
PEDAGOGIA	Licenciatura	Noturno	MS	Três Lagoas	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CÂMPUS DE TRÊS LAGOAS - CPTL II	0	A	Ampla concorrência	8	8	629.03
PEDAGOGIA	Licenciatura	Noturno	MS	Campo Grande	UFMS	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	CAMPO GRANDE	0	A	Ampla concorrência	10	10	631.27
